Chapter,1.1,1.2,1.3,1.4,2.1,2.2,2.3,2.4,2.5,2.6,3.1,3.2,3.3,3.4,3.5,3.6,4.1,4.2,4.3,4.4,4.5,4.6,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,6.1,6.2,6.3,6.4,6.5,6.6
4.1,N,N,N,N,N,L,N,L,M,N,N,N,N,M,N,L,H,H,H,H,H,H,H,L,L,M,H,H,M,M,M,H,N,M,N,H
4.2,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,H,H,H,H,N,H,N,H,H,H,H,N,N,N,H,N,N,N
4.4,N,N,N,L,L,L,L,M,L,M,L,L,M,M,M,M,H,H,H,H,H,H,M,M,M,M,H,M,M,M,H,H,H,L,H,H
4.5,H,N,N,N,N,N,N,N,M,N,N,N,N,N,H,N,H,H,H,H,H,M,M,L,L,L,M,L,L,L,M,H,M,L,L,H
4.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,H,H,H,H,H,M,M,M,M,M,M,M,M
4.7,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,H,M,M,M,L,H,M,M,M,M,H,H,M,M,L,M,M,M,M
5.1,H,M,H,M,M,M,M,M,H,M,M,H,M,M,M,L,M,M,M,M,M,L,H,M,M,M,M,M,L,L,L,M,M,L,L,M
5.2,N,N,N,N,N,N,N,N,N,N,L,L,M,L,L,M,L,L,L,M,L,L,H,H,M,H,H,H,H,H,L,M,L,L,L,L
4.3,H,N,N,N,N,N,M,N,M,N,L,N,N,N,M,L,M,H,H,H,H,H,M,L,N,M,H,M,L,L,L,H,M,N,N,H
5.3,N,N,N,N,N,N,N,N,L,M,N,M,N,M,N,H,M,M,M,H,M,L,H,N,N,H,H,M,M,M,L,H,M,M,M,M
5.4,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,M,M,M,H,M,M,M,M,N,N,M,N,N,N
5.5,N,N,N,N,N,N,N,N,N,N,L,N,N,L,M,M,N,N,N,N,N,N,M,L,M,M,M,L,L,M,N,N,N,N,N,N
5.6,L,L,L,L,L,L,L,L,L,L,L,L,M,L,L,L,L,M,M,M,L,L,M,M,M,M,L,L,L,L,L,L,L,L,L,L
5.7,M,L,L,L,H,H,M,M,M,L,M,M,M,H,L,M,L,M,L,L,M,L,H,H,L,H,M,L,L,L,H,M,L,M,M,L
5.8,N,N,L,N,M,H,M,M,L,L,L,M,L,M,N,L,L,N,M,M,N,M,M,H,L,M,L,L,H,H,H,M,L,M,M,M
5.9,M,L,L,L,M,M,L,L,M,L,L,L,L,L,L,L,M,M,M,L,L,L,M,M,M,M,M,M,L,L,M,M,M,L,L,M
5.10,N,N,N,N,N,N,N,N,N,N,N,M,M,N,N,M,N,N,N,M,M,N,N,N,N,N,N,N,M,M,N,M,N,M,H,N
5.11,L,N,N,L,N,N,N,N,N,M,L,M,M,M,M,L,M,L,M,M,L,L,L,M,M,M,L,L,M,H,M,H,M,M,M,M
5.12,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,L,L,L,M,L,L,L,L,L,M,M,L,L,L,L,L,L,L,L,L,L
5.13,L,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,L,N,N,M,N,N,N,N,M,L,L,L,L,L,L,N,N,N,N
6.1A,L,N,N,L,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6.1C,H,L,L,N,N,N,N,N,N,N,N,N,M,L,L,L,L,L,N,N,N,N,N,N,M,N,L,N,N,N,M,M,N,N,N,N
6.2A,H,M,L,N,M,N,N,N,N,N,N,M,M,H,M,M,H,M,M,L,M,L,L,L,L,L,L,L,L,L,L,M,M,M,M,M
6.2B,H,N,N,L,N,N,N,N,N,N,H,H,H,M,H,L,H,H,N,L,L,N,N,N,L,M,H,N,H,H,H,H,H,L,M,M
6.3A,M,N,N,M,N,N,N,N,N,N,M,N,H,N,M,N,N,N,N,M,N,N,H,H,H,N,M,M,N,M,M,M,N,N,N,M
6.3B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6.3C,H,H,M,H,L,L,L,L,L,L,M,M,M,M,H,M,L,M,N,L,L,L,H,H,H,M,H,H,M,M,H,H,H,H,H,M
6.4A,H,M,L,N,N,M,M,H,H,L,N,N,N,N,N,M,N,N,N,L,H,M,M,M,M,N,M,M,H,M,M,N,M,H,M,H
6.4B,H,M,L,N,M,L,M,L,M,M,M,L,L,M,L,L,M,L,L,M,H,M,M,L,L,M,L,H,M,L,H,H,H,M,M,H
6.5A,N,M,H,M,M,H,M,H,M,H,M,L,L,M,L,H,H,M,H,H,H,M,H,M,M,M,M,M,H,H,H,H,H,M,L,H
6.5B,H,M,L,N,M,L,L,L,L,M,M,L,L,M,M,L,L,L,M,M,M,L,M,L,L,L,M,M,L,L,M,L,M,L,L,L
6.6A,H,N,L,N,M,H,L,M,L,L,N,N,N,N,N,N,H,H,M,H,M,H,M,M,M,M,L,M,M,H,M,H,H,M,M,N
6.6B,L,N,L,N,L,L,L,L,L,L,L,L,L,M,M,L,H,H,H,H,M,H,M,M,M,M,M,H,M,M,M,H,H,H,M,H
6.6C,H,M,L,N,L,L,N,M,L,M,L,M,M,M,M,M,M,N,H,N,H,H,M,L,H,H,M,N,M,M,L,H,H,M,M,M
7.1A,H,M,L,M,L,M,M,H,H,H,H,H,M,M,L,H,L,L,L,L,L,L,L,L,M,M,M,M,M,M,L,L,L,L,M,L
7.1B,N,L,L,N,N,N,M,N,N,H,N,L,N,L,N,N,H,N,H,H,N,H,N,N,N,N,N,N,N,N,N,M,M,L,H,N
7.2A,H,M,L,N,H,M,M,L,M,H,N,N,N,M,M,N,H,H,H,H,L,M,M,N,N,L,M,N,L,N,N,L,M,N,N,M
7.2B,H,M,L,N,L,N,N,L,M,N,N,N,H,N,M,M,H,H,M,H,M,N,L,M,N,M,L,M,M,L,M,H,H,N,N,H
7.3,H,M,L,N,M,L,L,M,L,L,L,M,L,M,H,L,M,L,H,L,M,M,M,H,H,L,L,M,H,H,L,L,H,H,H,H
7.4,H,L,L,L,M,L,L,L,M,L,M,L,H,M,L,M,H,M,L,M,M,L,L,M,L,L,M,L,M,M,L,M,M,L,M,M
7.5,H,L,L,L,H,H,M,L,M,L,M,L,M,L,L,L,M,L,M,M,L,L,M,M,L,L,L,L,L,L,M,L,L,L,L,L
7.6,N,N,N,N,N,N,M,M,L,L,L,N,L,L,M,N,H,H,M,H,L,H,L,L,L,M,M,L,L,N,N,M,M,L,M,M
8.1,N,N,N,N,N,N,N,N,N,N,N,N,L,L,L,L,H,L,L,H,L,H,M,M,M,L,M,L,L,L,M,M,H,H,H,H
8.2A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,M,M,N,H,H,H,M,H,H,M,H,M,H,H,M,M,H
8.2B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,M,M,N,M,L,L,L,M,M,L,M,L,H,H,M,H,M,H
8.3,N,N,N,N,N,N,N,N,M,H,N,N,N,M,N,M,M,M,N,H,M,N,N,N,N,N,N,N,M,M,N,H,M,N,N,H
8.4,N,N,N,N,L,L,M,M,L,L,L,L,L,L,L,M,M,M,M,M,L,M,M,M,M,M,H,M,M,M,H,H,H,M,H,H
9.1,N,N,M,L,L,M,H,L,L,H,M,M,L,M,M,H,L,L,H,M,L,L,H,H,H,M,M,L,L,M,M,H,H,L,H,H
9.2,N,N,M,L,N,L,N,N,N,N,N,L,L,L,L,M,L,L,L,L,L,L,M,L,L,L,L,L,M,M,N,N,N,L,M,M
9.3,N,N,N,N,N,N,H,N,N,M,N,N,N,N,N,N,N,N,M,N,N,H,N,N,N,N,N,M,N,N,N,N,M,N,H,N
9.4,N,N,N,N,M,L,M,M,L,M,M,L,M,L,L,H,L,L,L,L,L,M,M,M,N,L,M,M,M,M,H,H,L,H,H,H
9.5,N,N,N,N,N,N,M,N,N,M,N,M,N,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,N,H,H,N
9.6,N,N,N,N,L,M,M,L,L,L,N,L,N,L,L,L,N,N,L,N,N,N,L,L,L,L,L,L,N,N,L,M,L,L,M,L
9.7,N,N,N,N,L,H,L,L,M,L,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,N,N,N,M,M,M,N,N,M,M,M
9.8,M,L,L,L,L,H,M,M,M,H,L,L,L,L,L,M,L,L,L,L,M,H,L,M,L,L,L,L,H,H,H,M,H,H,H,H
10.1,N,L,M,L,L,M,M,M,L,H,L,H,H,N,M,H,H,M,M,H,H,H,H,H,M,H,H,H,M,M,H,H,H,H,H,H
10.2,N,L,L,L,M,M,H,M,L,L,L,M,M,L,M,M,M,L,M,M,M,M,L,M,M,M,L,M,M,M,M,H,H,M,H,H
10.3A,N,N,M,L,L,L,L,H,L,M,M,L,M,L,M,N,N,N,N,N,M,L,L,M,L,L,L,L,M,L,L,L,M,L,L,H
10.3B,N,N,N,N,M,M,L,M,N,N,M,L,N,N,L,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,L,M,L,L
10.4,N,N,N,L,N,N,M,L,L,L,N,M,N,N,N,L,L,M,M,L,M,H,M,L,L,M,M,M,H,H,L,M,M,H,H,H
10.5,N,N,N,N,M,M,H,N,H,N,N,M,N,N,N,M,N,M,M,N,M,M,H,H,H,M,M,M,H,H,M,H,H,M,H,H
10.6,N,N,M,N,N,N,M,M,N,M,N,H,N,M,N,H,M,M,H,N,M,M,M,N,N,N,N,M,M,H,H,H,M,M,H,H
