target_key,target_type,canonical_url,occurrences,distinct_titles,distinct_chapters,titles,chapters,files,needs_scope_review
youtube:video:8OJC21T2SL4,youtube_video,https://www.youtube.com/watch?v=8OJC21T2SL4,3,2,3,5 Levels of Text Splitting for RAG | The 5 Levels of Text Splitting for Retrieval,Chapter 3.1B - Grounding in External Knowledge | Chapter 5.8 - Semantic Memory | Chapter 6.1 - RAG Chunking,Part_03_YoutubeVideos.md | Part_05_YoutubeVideos.md | Part_06_YoutubeVideos.md,True
youtube:video:jGg_1h0qzaM,youtube_video,https://www.youtube.com/watch?v=jGg_1h0qzaM,3,3,3,LangGraph Full Course - Learn LangGraph and Build Conversational AI with Python | Learn LangGraph and Build Conversational AI | Learn LangGraph and Build Conversational AI with Python,Chapter 1.7B - Hybrid RAG+KG | Chapter 2.1 - Framework Landscape | Chapter 2.2 - LangGraph,Part_01_YoutubeVideos.md | Part_02_YoutubeVideos.md,True
youtube:video:s_o8dwzRlu4,youtube_video,https://www.youtube.com/watch?v=s_o8dwzRlu4,3,1,3,Kubernetes Crash Course for Absolute Beginners [NEW],Chapter 4.1 - AI Agent Deployment and Scaling | Chapter 4.3 - Container Orchestration and Edge Deployment | Chapter 9.3: Sandboxing and Isolation,Part_04_YoutubeVideos.md | Part_09_YoutubeVideos.md,False
youtube:video:sal78ACtGTc,youtube_video,https://www.youtube.com/watch?v=sal78ACtGTc,3,2,3,What's Next for AI Agentic Workflows - Andrew Ng | What's next for AI agentic workflows (Andrew Ng),Chapter 1.2 - Core Patterns | Chapter 3.10 - Efficiency Metrics | Chapter 3.6 - Agent Benchmarking Frameworks,Part_01_YoutubeVideos.md | Part_03_YoutubeVideos.md,True
youtube:video:wKeFV11Uvds,youtube_video,https://www.youtube.com/watch?v=wKeFV11Uvds,3,2,3,How to Add Memory to LangGraph Agents | LangGraph Agent with Persistent Memory,Chapter 1.4 - Memory & Perception | Chapter 1.6 - Orchestration Pitfalls | Chapter 5.7 - Episodic Memory,Part_01_YoutubeVideos.md | Part_05_YoutubeVideos.md,True
docs.langchain.com/oss/python/langgraph/persistence,web,https://docs.langchain.com/oss/python/langgraph/persistence,2,2,2,LangGraph Persistence | LangGraph Persistence and Recovery,Chapter 1.6 - Orchestration Pitfalls | Chapter 2.8 - Error Handling,Part_01_YoutubeVideos.md | Part_02_YoutubeVideos.md,True
youtube:playlist:PLfaIDFEXuae2LXbO1_PKyVJiQ23ZztA0x,youtube_playlist,https://www.youtube.com/playlist?list=PLfaIDFEXuae2LXbO1_PKyVJiQ23ZztA0x,2,2,2,RAG From Scratch Playlist | RAG from Scratch - Video Playlist,Chapter 1.4 - Memory & Perception | Chapter 5.9 - Working Memory,Part_01_YoutubeVideos.md | Part_05_YoutubeVideos.md,True
youtube:video:-L-WgKMFuhE,youtube_video,https://www.youtube.com/watch?v=-L-WgKMFuhE,2,2,2,A* Pathfinding | A* Pathfinding Tutorial,Chapter 5.5 - Monte Carlo Tree Search | Chapter 5.6 - A* Search,Part_05_YoutubeVideos.md,True
youtube:video:2MBJOuVq380,youtube_video,https://www.youtube.com/watch?v=2MBJOuVq380,2,1,2,RLHF: From Zero to ChatGPT - Hugging Face,"Chapter 3.3 - Harmfulness & Safety Assessment | Chapter 3.5 - Prompt Optimization, Few-Shot Learning, and Fine-Tuning",Part_03_YoutubeVideos.md,False
youtube:video:4KXK6c6TVXQ,youtube_video,https://www.youtube.com/watch?v=4KXK6c6TVXQ,2,2,2,AI Agent Tool Calling Example | OpenAI Functions + LangChain - Multi-Tool Agent,Chapter 1.2 - Core Patterns | Chapter 3.8 - Action Accuracy,Part_01_YoutubeVideos.md | Part_03_YoutubeVideos.md,True
youtube:video:5ZlavKF_98U,youtube_video,https://www.youtube.com/watch?v=5ZlavKF_98U,2,1,2,Fast LLM Serving with vLLM and PagedAttention,Chapter 4.6 - TensorRT-LLM and NVIDIA Fleet Command | Chapter 5.9 - Working Memory,Part_04_YoutubeVideos.md | Part_05_YoutubeVideos.md,False
youtube:video:5h-JBkySK34,youtube_video,https://www.youtube.com/watch?v=5h-JBkySK34,2,1,2,Building AI Agent Systems with LangGraph,Chapter 1.6 - Orchestration Pitfalls | Chapter 2.2 - LangGraph,Part_01_YoutubeVideos.md | Part_02_YoutubeVideos.md,False
youtube:video:62OI_y-KRlw,youtube_video,https://www.youtube.com/watch?v=62OI_y-KRlw,2,1,2,Semantic Kernel - AI-Powered Legacy Modernization,Chapter 2.1 - Framework Landscape | Chapter 2.5 - Semantic Kernel,Part_02_YoutubeVideos.md,False
youtube:video:9BPCV5TYPmg,youtube_video,https://www.youtube.com/watch?v=9BPCV5TYPmg,2,1,2,LangGraph Persistence for Human-in-the-Loop Workflows,Chapter 10.4: Human in the Loop | Chapter 3.4 - Behavioral Consistency,Part_03_YoutubeVideos.md | Part_10_YoutubeVideos.md,False
youtube:video:Cie5v59mrTg,youtube_video,https://www.youtube.com/watch?v=Cie5v59mrTg,2,1,2,RabbitMQ Crash Course - Hussein Nasser,Chapter 4.1 - AI Agent Deployment and Scaling | Chapter 4.2 - Deployment & Scaling Architecture,Part_04_YoutubeVideos.md,False
youtube:video:E2shqsYwxck,youtube_video,https://www.youtube.com/watch?v=E2shqsYwxck,2,2,2,"Building Corrective RAG from Scratch with Open-Source, Local LLMs | Corrective-RAG (CRAG) in LangGraph with Ollama",Chapter 2.2 - LangGraph | Chapter 3.1B - Grounding in External Knowledge,Part_02_YoutubeVideos.md | Part_03_YoutubeVideos.md,True
youtube:video:IsDpoXExmNA,youtube_video,https://www.youtube.com/watch?v=IsDpoXExmNA,2,2,2,Neuro-Symbolic AI: SATNet | SATNet - Constraint Learning and Neural-Symbolic Reasoning,Chapter 3.9 - Reasoning Quality | Chapter 5.13 - Hybrid Decision Systems,Part_03_YoutubeVideos.md | Part_05_YoutubeVideos.md,True
youtube:video:NQDtfSi5QF4,youtube_video,https://www.youtube.com/watch?v=NQDtfSi5QF4,2,2,2,NVIDIA Triton Inference Server - Getting Started | Triton Inference Server API Endpoints Deep Dive,Chapter 4.4 - Performance Profiling and Optimization | Chapter 4.5 - NVIDIA NIM and Triton Inference Server,Part_04_YoutubeVideos.md,True
youtube:video:NaT5Eo97_I0,youtube_video,https://www.youtube.com/watch?v=NaT5Eo97_I0,2,1,2,NVIDIA NIM Multimodal RAG,Chapter 1.5B - Stateful Examples | Chapter 4.5 - NVIDIA NIM and Triton Inference Server,Part_01_YoutubeVideos.md | Part_04_YoutubeVideos.md,False
youtube:video:Oq2SN7uutbQ,youtube_video,https://www.youtube.com/watch?v=Oq2SN7uutbQ,2,2,2,Efficient Memory Management for LLM Serving with PagedAttention | PagedAttention for LLM Serving,Chapter 4.6 - TensorRT-LLM and NVIDIA Fleet Command | Chapter 5.9 - Working Memory,Part_04_YoutubeVideos.md | Part_05_YoutubeVideos.md,True
youtube:video:Ox26-mRSsvg,youtube_video,https://www.youtube.com/watch?v=Ox26-mRSsvg,2,2,2,RAG Explained - n8n Demo | RAG Explained – n8n Chatbot Demo with Sources,Chapter 4.1 - AI Agent Deployment and Scaling | Chapter 5.13 - Hybrid Decision Systems,Part_04_YoutubeVideos.md | Part_05_YoutubeVideos.md,True
youtube:video:PqS1kib7RTw,youtube_video,https://www.youtube.com/watch?v=PqS1kib7RTw,2,1,2,LangGraph Crash Course with Code Examples,Chapter 1.3 - Multi-Agent Systems | Chapter 1.5A - Stateful Orchestration,Part_01_YoutubeVideos.md,False
youtube:video:QR_DkWv8VoE,youtube_video,https://www.youtube.com/watch?v=QR_DkWv8VoE,2,1,2,Semantic Kernel Office Hours - Process Framework,Chapter 2.1 - Framework Landscape | Chapter 2.5 - Semantic Kernel,Part_02_YoutubeVideos.md,False
youtube:video:SF1ZlRjVsxw,youtube_video,https://www.youtube.com/watch?v=SF1ZlRjVsxw,2,2,2,Recommendation System with Weaviate | Weaviate Tutorial,Chapter 6.2A - Vector Database Selection | Chapter 6.2B - Production Vector Database Deployment,Part_06_YoutubeVideos.md,True
youtube:video:WMRicNlaehc,youtube_video,https://www.youtube.com/watch?v=WMRicNlaehc,2,2,2,Trace-Based Testing with OpenTelemetry | Tracetest - OpenTelemetry End-to-End Testing,Chapter 3.7 - Tool Auditing | Chapter 9.1: Output Filtering,Part_03_YoutubeVideos.md | Part_09_YoutubeVideos.md,True
youtube:video:WXuK6gekU1Y,youtube_video,https://www.youtube.com/watch?v=WXuK6gekU1Y,2,1,2,AlphaGo - The Movie,Chapter 5.2 - Tree-of-Thought | Chapter 5.5 - Monte Carlo Tree Search,Part_05_YoutubeVideos.md,False
youtube:video:_IgbB24scLI,youtube_video,https://www.youtube.com/watch?v=_IgbB24scLI,2,2,2,Learn to Build Graph Databases with Neo4j | Neo4j Graph Database Course - Full Tutorial,Chapter 1.7A - Knowledge Graphs | Chapter 1.7B - Hybrid RAG+KG,Part_01_YoutubeVideos.md,True
youtube:video:aqdWSYWC_LI,youtube_video,https://www.youtube.com/watch?v=aqdWSYWC_LI,2,1,2,OpenAI Function Calling - Full Beginner Tutorial,Chapter 2.3 - LangChain | Chapter 2.6 - Tool Integration,Part_02_YoutubeVideos.md,False
youtube:video:b2iM9bPdAEs,youtube_video,https://www.youtube.com/watch?v=b2iM9bPdAEs,2,2,2,Building Multi AI Agents Chatbots | LangGraph Tutorial 2 - Multi AI Agents with External Tools,Chapter 1.5A - Stateful Orchestration | Chapter 1.5B - Stateful Examples,Part_01_YoutubeVideos.md,True
youtube:video:dIb-DujRNEo,youtube_video,https://www.youtube.com/watch?v=dIb-DujRNEo,2,1,2,Agentic AI with LangGraph and MCP Crash Course,Chapter 1.5A - Stateful Orchestration | Chapter 1.5B - Stateful Examples,Part_01_YoutubeVideos.md,False
youtube:video:e_13aTsxNoY,youtube_video,https://www.youtube.com/watch?v=e_13aTsxNoY,2,1,2,Du Blue-Green au Canary Release avec Kubernetes - Mathieu Herbert,Chapter 4.1 - AI Agent Deployment and Scaling | Chapter 4.2 - Deployment & Scaling Architecture,Part_04_YoutubeVideos.md,False
youtube:video:gqvFmK7LpDo,youtube_video,https://www.youtube.com/watch?v=gqvFmK7LpDo,2,2,2,Getting Started with LangGraph | LangGraph Tutorial 1 - Building Stateful Multi-AI Agents,Chapter 1.5A - Stateful Orchestration | Chapter 1.5B - Stateful Examples,Part_01_YoutubeVideos.md,True
youtube:video:lICivVwm-F8,youtube_video,https://www.youtube.com/watch?v=lICivVwm-F8,2,2,2,Jaeger V2 - Distributed Tracing Powered by OpenTelemetry | Jaeger V2 and Distributed Tracing,Chapter 3.7 - Tool Auditing | Chapter 9.1: Output Filtering,Part_03_YoutubeVideos.md | Part_09_YoutubeVideos.md,True
youtube:video:pfpIndq7Fi8,youtube_video,https://www.youtube.com/watch?v=pfpIndq7Fi8,2,1,2,RAG from Scratch: Part 10 (Routing),Chapter 2.2 - LangGraph | Chapter 6.6 - Query Decomposition,Part_02_YoutubeVideos.md | Part_06_YoutubeVideos.md,False
youtube:video:r09tJfON6kE,youtube_video,https://www.youtube.com/watch?v=r09tJfON6kE,2,2,2,Graph RAG - Microsoft Research | GraphRAG: LLM-Derived Knowledge Graphs for RAG,Chapter 1.7B - Hybrid RAG+KG | Chapter 3.1B - Grounding in External Knowledge,Part_01_YoutubeVideos.md | Part_03_YoutubeVideos.md,True
youtube:video:t5Bo1Je9EmE,youtube_video,https://www.youtube.com/watch?v=t5Bo1Je9EmE,2,1,2,Python Asynchronous Programming,Chapter 1.5B - Stateful Examples | Chapter 2.9 - Streaming,Part_01_YoutubeVideos.md | Part_02_YoutubeVideos.md,False
youtube:video:uZqGKg0ad7k,youtube_video,https://www.youtube.com/watch?v=uZqGKg0ad7k,2,2,2,"Get Started with Python, Flask, and Neo4j | Neo4j with Python Tutorial",Chapter 1.7A - Knowledge Graphs | Chapter 5.7 - Episodic Memory,Part_01_YoutubeVideos.md | Part_05_YoutubeVideos.md,True
youtube:video:ut5kp56wW_4,youtube_video,https://www.youtube.com/watch?v=ut5kp56wW_4,2,1,2,Tree of Thoughts: Deliberate Problem Solving,Chapter 5.1 - Chain-of-Thought | Chapter 5.2 - Tree-of-Thought,Part_05_YoutubeVideos.md,False
youtube:video:wjZofJX0v4M,youtube_video,https://www.youtube.com/watch?v=wjZofJX0v4M,2,2,2,But What is a GPT? - 3Blue1Brown | But what is a GPT?,Chapter 3.10 - Efficiency Metrics | Chapter 5.1 - Chain-of-Thought,Part_03_YoutubeVideos.md | Part_05_YoutubeVideos.md,True
youtube:video:wtJ09xDuSx0,youtube_video,https://www.youtube.com/watch?v=wtJ09xDuSx0,2,1,2,Kubernetes HPA Not Scaling? The Complete Troubleshooting Guide on HPA,Chapter 4.5 - NVIDIA NIM and Triton Inference Server | Chapter 4.7 - Scaling Strategies,Part_04_YoutubeVideos.md,False
