resource_id,file,part,chapter,title,provider,covers,source_line,internal_exact_match_count,internal_exact_match_urls,internal_exact_match_chapters
VR-32903ABF93CE4D05,Part_07_YoutubeVideos.md,7,Chapter 7.1B: Colang DSL and NIM Integration,Spring Boot Microservices Tutorial,,Production deployment patterns for services,77,0,,
VR-18CB26CCD22F6791,Part_07_YoutubeVideos.md,7,Chapter 7.1B: Colang DSL and NIM Integration,DeepLearning.AI Safe and Reliable AI,,Safe AI system design principles,81,0,,
VR-CBE93A8FDCDB084B,Part_07_YoutubeVideos.md,7,Chapter 7.1B: Colang DSL and NIM Integration,NVIDIA TensorRT-LLM Documentation,,Inference optimization and security considerations,84,0,,
VR-B6C519439006203B,Part_07_YoutubeVideos.md,7,Chapter 7.1B: Colang DSL and NIM Integration,OWASP Top 10 for LLM Applications,,Security vulnerabilities specific to LLM systems,87,0,,
VR-F5F5C50BB4F51EBD,Part_07_YoutubeVideos.md,7,Chapter 7.2A: Local Development Setup,vLLM Inference and LLM Server Engine,,Complete vLLM setup and deployment patterns,98,0,,
VR-2E0AB99DE2BF23E3,Part_07_YoutubeVideos.md,7,Chapter 7.2A: Local Development Setup,vLLM on Kubernetes in Production,,Kubernetes orchestration and scalability,102,0,,
VR-3766A2FBB3B90660,Part_07_YoutubeVideos.md,7,Chapter 7.2A: Local Development Setup,Torch-TensorRT Deep Learning Inference Tutorial,,TensorRT optimization for GPU inference,106,0,,
VR-DC6825CE34B5C2B1,Part_07_YoutubeVideos.md,7,Chapter 7.2A: Local Development Setup,Stable Diffusion with RTX and TensorRT,,GPU optimization techniques and acceleration,109,0,,
VR-754A8535CF5DC7CB,Part_07_YoutubeVideos.md,7,Chapter 7.2A: Local Development Setup,LLMOps Model Conversion Comparison,,Model format conversion workflows,113,0,,
VR-6B47948275A8555B,Part_07_YoutubeVideos.md,7,Chapter 7.2A: Local Development Setup,Kubernetes HPA Setup and Configuration,,Horizontal Pod Autoscaling implementation,117,0,,
VR-78944CDC4042BE41,Part_07_YoutubeVideos.md,7,Chapter 7.2A: Local Development Setup,Kubernetes Fault-Tolerant Message Processing,,Reliability patterns for production systems,120,0,,
VR-E2814F996D709DA2,Part_07_YoutubeVideos.md,7,Chapter 7.2A: Local Development Setup,Additional vLLM and Kubernetes Tutorials,,Advanced deployment and orchestration,123,0,,
VR-100361D489EBA2A7,Part_07_YoutubeVideos.md,7,Chapter 7.3: NeMo Agent Toolkit,DeepLearning.AI NeMo Agent Toolkit Course,,Official comprehensive toolkit coverage,144,0,,
VR-A1D9132CE614542B,Part_07_YoutubeVideos.md,7,Chapter 7.3: NeMo Agent Toolkit,Sentence Transformers Documentation,,Semantic similarity implementation and scoring,147,0,,
VR-93C7AD530155D819,Part_07_YoutubeVideos.md,7,Chapter 7.3: NeMo Agent Toolkit,LangGraph Multi-Agent Workflows,,Agent collaboration and multi-agent patterns,150,1,https://www.youtube.com/watch?v=hvAPnpSfSGo,Chapter 1.6 - Orchestration Pitfalls
VR-DB5C43D735342778,Part_07_YoutubeVideos.md,7,Chapter 7.3: NeMo Agent Toolkit,OpenTelemetry Integration Guide,,Observability standards for agents,153,0,,
VR-A40E25CB7EB53216,Part_07_YoutubeVideos.md,7,Chapter 7.3: NeMo Agent Toolkit,VictoriaMetrics Observability,,Metrics collection and storage systems,156,0,,
VR-1AE77109DB4105CA,Part_07_YoutubeVideos.md,7,Chapter 7.3: NeMo Agent Toolkit,Made With ML CI/CD Course,,MLOps fundamentals and pipeline integration,159,0,,
VR-BB26C0DD1A2EBF89,Part_07_YoutubeVideos.md,7,Chapter 7.3: NeMo Agent Toolkit,Langfuse Cost Tracking,,Token and cost management for LLM systems,162,0,,
VR-D82E4709EB50634F,Part_07_YoutubeVideos.md,7,Chapter 7.3: NeMo Agent Toolkit,AsyncIO Complete Guide,Corey Schafer,Asynchronous programming for parallelization,165,0,,
VR-D401EF8DCE1DCC88,Part_07_YoutubeVideos.md,7,Chapter 7.3: NeMo Agent Toolkit,LLM Agent Evaluation & Benchmarking,,Agent performance assessment and optimization,169,0,,
VR-B1651B50E495A358,Part_07_YoutubeVideos.md,7,Chapter 7.3: NeMo Agent Toolkit,CrewAI Multi-Agent Systems,,Multi-agent framework and coordination,172,0,,
VR-4A33A713D5A13FD0,Part_07_YoutubeVideos.md,7,Chapter 7.4: Quantization Fundamentals,LLM Inference Optimization,Mark Moyou (NVIDIA),Memory bandwidth and performance optimization,197,0,,
VR-034F45C480A55C6C,Part_07_YoutubeVideos.md,7,Chapter 7.4: Quantization Fundamentals,vLLM PagedAttention Tutorial,,Memory-efficient attention mechanisms,201,0,,
VR-554D831EE19A429C,Part_07_YoutubeVideos.md,7,Chapter 7.4: Quantization Fundamentals,GGUF Quantization Tutorial,,Model quantization and compression,204,0,,
VR-73B8473FFC621871,Part_07_YoutubeVideos.md,7,Chapter 7.4: Quantization Fundamentals,PyTorch Quantization Tutorial,,Post-training and dynamic quantization,207,0,,
VR-EDCAF8CFE73E6602,Part_07_YoutubeVideos.md,7,Chapter 7.4: Quantization Fundamentals,TensorRT Compilation and Calibration,,Graph optimization and inference acceleration,210,0,,
VR-5D32671A1FAF3220,Part_07_YoutubeVideos.md,7,Chapter 7.4: Quantization Fundamentals,Attention Mechanism Explanation,StatQuest,Mathematical foundations and practical application,213,0,,
VR-54043968CEEA6FAC,Part_07_YoutubeVideos.md,7,Chapter 7.6: GPU Security and Multi-Instance GPU,Lambda Labs MIG Tutorial,,Hands-on practical guide to GPU partitioning,235,0,,
VR-07D3D21342BA1FA4,Part_07_YoutubeVideos.md,7,Chapter 7.6: GPU Security and Multi-Instance GPU,KubeCon Europe 2024: GPU Management,NVIDIA presenters,Production-scale GPU resource management,238,0,,
VR-CBA43CE488CE8AA5,Part_07_YoutubeVideos.md,7,Chapter 7.6: GPU Security and Multi-Instance GPU,KubeCon Europe 2024: Precision GPU Scheduling,Uber production patterns,Advanced scheduling strategies at scale,242,0,,
VR-D7663B12FCF60A2E,Part_07_YoutubeVideos.md,7,Chapter 7.6: GPU Security and Multi-Instance GPU,Google Cloud Tech: GPU/TPU Obtainability,,Cloud GPU management and availability,246,0,,
VR-F7C0DD02DD5CC6EF,Part_07_YoutubeVideos.md,7,Chapter 7.6: GPU Security and Multi-Instance GPU,Rafay Platform: Fractional GPUs,,Fractional GPU allocation and sharing,250,0,,
VR-A1789EC27D569574,Part_08_YoutubeVideos.md,8,Chapter 8.1: Latency Fundamentals,CNCF Conference Talk: Distributed Tracing with Jaeger and OpenTelemetry,,"Parent-child span hierarchies, bottleneck identification, distributed systems tracing",21,0,,
VR-5986F57C8B93ABA8,Part_08_YoutubeVideos.md,8,Chapter 8.2A: Error Taxonomy and SLOs,MIT 6.824 Distributed Systems,"Search ""MIT 6.824 Spring 2020""",Distributed system fundamentals and coordination,45,0,,
VR-6065D417C934644A,Part_08_YoutubeVideos.md,8,Chapter 8.2A: Error Taxonomy and SLOs,Jenny's Lectures - Deadlock Series,"Search ""Jenny's Lectures CS/IT deadlock""",Deadlock prevention and detection,49,0,,
VR-34F39B3B97C6F961,Part_08_YoutubeVideos.md,8,Chapter 8.2A: Error Taxonomy and SLOs,Topological Sort Algorithms,Tushar Roy,Dependency ordering and DAG traversal,53,0,,
VR-62D0CE3EDFBA595E,Part_08_YoutubeVideos.md,8,Chapter 8.2A: Error Taxonomy and SLOs,Circuit Breaker Patterns,"Search ""circuit breaker pattern tutorial""",State machines and failure prevention,57,0,,
VR-EBB4E9D76917E465,Part_08_YoutubeVideos.md,8,Chapter 8.2B: Circuit Breakers and NeMo Guardrails,Battle of the Circuit Breakers,GOTO Conference,Resilience4J vs Istio comparison and implementations,69,0,,
VR-0ECC4D2C8D2C8FE9,Part_08_YoutubeVideos.md,8,Chapter 8.2B: Circuit Breakers and NeMo Guardrails,freeCodeCamp - Microservices Courses,,Comprehensive circuit breaker patterns,73,0,,
VR-D27874EF5BC38080,Part_08_YoutubeVideos.md,8,Chapter 8.2B: Circuit Breakers and NeMo Guardrails,Martin Kleppmann's Distributed Systems Lectures,Cambridge course,Distributed system resilience and failure handling,76,0,,
VR-5D4E177F2F91F80D,Part_08_YoutubeVideos.md,8,Chapter 8.2B: Circuit Breakers and NeMo Guardrails,TechWorld with Nana - Prometheus/Grafana Monitoring,,DevOps patterns and observability,81,0,,
VR-DCAF79864D1C973D,Part_08_YoutubeVideos.md,8,Chapter 8.2B: Circuit Breakers and NeMo Guardrails,Google SRE Documentation,,Error budget and SLO guidance,84,0,,
VR-A7E16D8DF8A71771,Part_08_YoutubeVideos.md,8,Chapter 8.2B: Circuit Breakers and NeMo Guardrails,Resilience4j Documentation,,Circuit breaker implementation reference,87,0,,
VR-EB5E03F844F86A49,Part_08_YoutubeVideos.md,8,Chapter 8.2B: Circuit Breakers and NeMo Guardrails,NeMo Guardrails Tutorial,,Guardrails implementation and deployment,90,0,,
VR-8C41323DFC261274,Part_08_YoutubeVideos.md,8,Chapter 8.3: Token Economics,Neural Networks: Zero to Hero (Tokenization),Andrej Karpathy,"Tokenizers, BPE algorithm, GPT tokenizer implementation",101,0,,
VR-57A762CD2E0B26CE,Part_08_YoutubeVideos.md,8,Chapter 8.3: Token Economics,Attention in Transformers,3Blue1Brown,Visual explanations of token processing,105,4,https://www.youtube.com/watch?v=eMlx5fFNoYc,Chapter 5.1 - Chain-of-Thought | Chapter 5.3 - Self-Consistency | Chapter 5.9 - Working Memory | Chapter 6.6A - Reranking Implementation
VR-8809D8D7D261B819,Part_08_YoutubeVideos.md,8,Chapter 8.3: Token Economics,Transformers Tech Behind LLMs,3Blue1Brown,Token embeddings and transformer architecture,109,0,,
VR-CAF284A8E7424D1B,Part_08_YoutubeVideos.md,8,Chapter 8.3: Token Economics,ChatGPT Prompt Engineering,DeepLearning.AI,"LLM API usage, tokens, and cost management",113,0,,
VR-F702CBDD5D079813,Part_08_YoutubeVideos.md,8,Chapter 8.3: Token Economics,OpenAI API Five Projects,freeCodeCamp/Ania Kubow,Practical token consumption patterns,117,0,,
VR-38276BED4284ED21,Part_08_YoutubeVideos.md,8,Chapter 8.3: Token Economics,RAG-Based LLM App,Tech with Tim,RAG optimization for cost reduction,122,0,,
VR-58BB9FEFA5DD7603,Part_08_YoutubeVideos.md,8,Chapter 8.3: Token Economics,LLM Observability Series,AssemblyAI,Cost tracking and monitoring,126,0,,
VR-D5911E88A1BA1AF5,Part_08_YoutubeVideos.md,8,Chapter 8.3: Token Economics,ML System Design,ByteByteGo,Cost optimization for AI systems,130,0,,
VR-854E63B0487CBCE7,Part_08_YoutubeVideos.md,8,Chapter 8.3: Token Economics,Fine-Tune LLMs in 2025,Philipp Schmid,Training cost optimization and PEFT methods,134,0,,
VR-BEC3A49E1AE1FE94,Part_09_YoutubeVideos.md,9,Chapter 9.1: Output Filtering,NVIDIA's NeMo Guardrails Full Walkthrough,,Guardrails implementation and Colang DSL,37,0,,
VR-0255EFE61009D35B,Part_09_YoutubeVideos.md,9,Chapter 9.1: Output Filtering,Building Trustworthy AI with NeMo Guardrails,,Live guardrails demonstration,41,0,,
VR-2763B023C89A1F1C,Part_09_YoutubeVideos.md,9,Chapter 9.1: Output Filtering,AI Bias and Fairness,,Fairness and bias detection fundamentals,45,0,,
VR-5865D75ABBC62EE3,Part_09_YoutubeVideos.md,9,Chapter 9.1: Output Filtering,Advanced Guardrails for AI Agents,,Advanced security patterns and best practices,49,0,,
VR-408A6248593800A1,Part_09_YoutubeVideos.md,9,Chapter 9.2: Action Constraints,OAuth 2.0 Tutorial,Google official documentation,OAuth 2.0 implementation and flows,61,0,,
VR-9CEA31C534530422,Part_09_YoutubeVideos.md,9,Chapter 9.2: Action Constraints,RBAC vs ABAC Comparison,,Role-based and attribute-based access control,66,0,,
VR-BEE7A981E6C3C038,Part_09_YoutubeVideos.md,9,Chapter 9.2: Action Constraints,Least Privilege Implementation,,Zero trust security principles,69,0,,
VR-0A04B3DB540A67F8,Part_09_YoutubeVideos.md,9,Chapter 9.2: Action Constraints,API Gateway Security,,API security patterns and protection,72,0,,
VR-24A8EBA88EB468E0,Part_09_YoutubeVideos.md,9,Chapter 9.2: Action Constraints,Zero Trust Security Architecture,,Multi-layer defense strategies,75,0,,
VR-21B92A5CAE628930,Part_09_YoutubeVideos.md,9,Chapter 9.2: Action Constraints,Just-in-Time Access Implementation,,JIT provisioning and access management,78,0,,
VR-C87F2EAE43C66CEF,Part_09_YoutubeVideos.md,9,Chapter 9.2: Action Constraints,AI Agent Permission Models,,Latest 2026 approaches to agent access control,81,0,,
VR-AF07D78D32293FB0,Part_09_YoutubeVideos.md,9,Chapter 9.2: Action Constraints,Human-in-the-Loop/Over-the-Loop Implementation,,Oversight models and safety mechanisms,84,0,,
VR-B3C15206FC61E940,Part_09_YoutubeVideos.md,9,Chapter 9.3: Sandboxing and Isolation,Kubernetes Security Best Practices,,Security policies and network isolation,110,0,,
VR-D83A23E5E9F55AB1,Part_09_YoutubeVideos.md,9,Chapter 9.3: Sandboxing and Isolation,Docker & Kubernetes Course,freeCodeCamp,Container and orchestration security,113,0,,
VR-2AB19AB885CA3D18,Part_09_YoutubeVideos.md,9,Chapter 9.3: Sandboxing and Isolation,OPA Introduction & Deep Dive,CNCF,Open Policy Agent for runtime enforcement,117,0,,
VR-FC8F7BC09BC3D445,Part_09_YoutubeVideos.md,9,Chapter 9.3: Sandboxing and Isolation,Netflix Container Security Journey,DockerCon,Production container security patterns,121,0,,
VR-261727988525F03F,Part_09_YoutubeVideos.md,9,Chapter 9.3: Sandboxing and Isolation,Kata Containers Introduction,,Lightweight virtual machine isolation,125,0,,
VR-DD72E6A00BE2C6A4,Part_09_YoutubeVideos.md,9,Chapter 9.3: Sandboxing and Isolation,gVisor vs Kata Containers Comparison,KubeCon,Advanced isolation technologies,128,0,,
VR-77AEB5A93AE9652D,Part_09_YoutubeVideos.md,9,Chapter 9.5: Constitutional AI Principles,Lex Fridman Podcast #452 - Dario Amodei,Anthropic CEO,Constitutional AI discussion and principles,150,0,,
VR-B26C03D23CE0E495,Part_09_YoutubeVideos.md,9,Chapter 9.5: Constitutional AI Principles,RLHF Lecture by Jesse Mu,Stanford CS224N,Academic foundations of RLHF,155,0,,
VR-591E020EE5678B64,Part_09_YoutubeVideos.md,9,Chapter 9.5: Constitutional AI Principles,Life After DPO by Nathan Lambert,Stanford CS224N,Advanced alignment techniques beyond RLHF,159,0,,
VR-D8A4F04806F444AF,Part_09_YoutubeVideos.md,9,Chapter 9.5: Constitutional AI Principles,Deep Dive into LLMs,Andrej Karpathy,Comprehensive technical perspective on LLM training,163,2,https://www.youtube.com/watch?v=7xTGNNLPyMI,Chapter 5.2 - Tree-of-Thought | Chapter 5.9 - Working Memory
VR-AAE6E9527BB9DBDA,Part_09_YoutubeVideos.md,9,Chapter 9.5: Constitutional AI Principles,NeMo Guardrails Walkthrough,,Practical Colang implementation,168,0,,
VR-E8AAD106E53E5B46,Part_09_YoutubeVideos.md,9,Chapter 9.5: Constitutional AI Principles,AI Safety (Computerphile),Robert Miles,Foundational alignment concepts,172,0,,
VR-E2961C5600BF9590,Part_09_YoutubeVideos.md,9,Chapter 9.5: Constitutional AI Principles,RLHF Course,DeepLearning.AI,Hands-on Llama 2 fine-tuning,176,0,,
VR-D398EFCD0DD959A5,Part_09_YoutubeVideos.md,9,Chapter 9.5: Constitutional AI Principles,Constitutional AI Developments,AI Explained Channel,Latest Constitutional AI updates,180,0,,
VR-8D7ACB50262274C3,Part_09_YoutubeVideos.md,9,Chapter 9.5: Constitutional AI Principles,Anthropic Constitution Documentation,,Official Constitution principles (January 2026),184,0,,
VR-0F8BA184300CEBE7,Part_09_YoutubeVideos.md,9,Chapter 9.6: Value Alignment Frameworks,Deep Dive into LLMs like ChatGPT,Andrej Karpathy,RLHF and alignment techniques,195,2,https://www.youtube.com/watch?v=7xTGNNLPyMI,Chapter 10.4: Human in the Loop | Chapter 4.6 - TensorRT-LLM and NVIDIA Fleet Command
VR-7587016D1CD2B733,Part_09_YoutubeVideos.md,9,Chapter 9.6: Value Alignment Frameworks,Learning to Summarize from Human Feedback,Yannic Kilcher,RLHF methodology from OpenAI research,200,0,,
VR-1BB958D32B1312A8,Part_09_YoutubeVideos.md,9,Chapter 9.6: Value Alignment Frameworks,Constitutional AI - Harmlessness from AI Feedback,Anthropic,Constitutional AI approach to alignment,205,0,,
VR-30EC8DAA27824356,Part_09_YoutubeVideos.md,9,Chapter 9.6: Value Alignment Frameworks,Specification Gaming - Flip Side of AI Ingenuity,DeepMind,Reward hacking and unintended behaviors,210,0,,
VR-1F0CBA930B1E134F,Part_09_YoutubeVideos.md,9,Chapter 9.6: Value Alignment Frameworks,Collective Constitutional AI,Anthropic,Multi-stakeholder value alignment,214,0,,
VR-87F6A1C2FD263E4E,Part_09_YoutubeVideos.md,9,Chapter 9.6: Value Alignment Frameworks,Inverse Reinforcement Learning,UC Berkeley,Learning values from human demonstrations,219,0,,
VR-28AB09AE75D5908A,Part_09_YoutubeVideos.md,9,Chapter 9.6: Value Alignment Frameworks,EU AI Act Compliance,,Regulatory compliance for AI systems,224,0,,
VR-D1CF2079143B9D93,Part_09_YoutubeVideos.md,9,Chapter 9.6: Value Alignment Frameworks,AI Safety and Value Alignment,Robert Miles,Foundations and advanced concepts,228,0,,
VR-0F8181A162FF0C63,Part_09_YoutubeVideos.md,9,Chapter 9.6: Value Alignment Frameworks,Autonomous Vehicle Ethics,,Ethical decision-making frameworks,232,0,,
VR-A2A5CB3B0457F1DD,Part_09_YoutubeVideos.md,9,Chapter 9.6: Value Alignment Frameworks,NeMo Guardrails Implementation,NVIDIA,Practical guardrails for value alignment,235,0,,
VR-6BDADF78335A6E02,Part_09_YoutubeVideos.md,9,Chapter 9.7: GDPR Foundations,ICO Data Protection Principles Training Videos,UK official regulator,UK GDPR fundamentals,248,0,,
VR-619610D7F67915FE,Part_09_YoutubeVideos.md,9,Chapter 9.7: GDPR Foundations,Professor Messer Privacy Courses,CompTIA Security+,Privacy principles and practices,252,0,,
VR-1DDD148AA5DAB5F6,Part_09_YoutubeVideos.md,9,Chapter 9.7: GDPR Foundations,GDPR Compliance: Essential Training,LinkedIn Learning,GDPR requirements and compliance,256,0,,
VR-CAECB782C8DAD83E,Part_09_YoutubeVideos.md,9,Chapter 9.7: GDPR Foundations,Certified GDPR Foundation Training,IT Governance USA,GDPR foundations and principles,260,0,,
VR-9DFBBD04C9CB9A17,Part_09_YoutubeVideos.md,9,Chapter 9.7: GDPR Foundations,Certified GDPR Practitioner Training,IT Governance USA,Advanced GDPR implementation,265,0,,
VR-CC78B9EE8C830C7B,Part_09_YoutubeVideos.md,9,Chapter 9.7: GDPR Foundations,Understanding GDPR Course,DataCamp,GDPR fundamentals for data professionals,270,0,,
VR-8CA6B6D3729FF9E3,Part_09_YoutubeVideos.md,9,Chapter 9.7: GDPR Foundations,GDPR and AI Machine Learning Compliance,,GDPR requirements for ML systems,274,0,,
VR-596D0D9476825233,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,NIST AI Risk Management Framework Official Explainer,Official NIST video,"Govern, Map, Measure, Manage functions",287,0,,
VR-D821898EDD3805D5,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,ISO/IEC 42001 Quick Guide,,AI management system standard overview,291,0,,
VR-CAAC55A8E068F6BC,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,INCITS 5-Part Series on ISO 42005 Impact Assessments,,Comprehensive impact assessment methodology,294,0,,
VR-3320F7A1E7B1481B,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,Microsoft Responsible AI Framework Training,,Industry implementation perspective,297,0,,
VR-897FDDF62CA63860,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,NIST AI RMF Masterclass,Udemy,Deep dive training on framework,300,0,,
VR-74153C065701CE28,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,AI Governance Course,Stanford CS 134,Academic governance perspective,304,0,,
VR-A6B2DB5D4C2E230C,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,Ethics of AI,University of Helsinki,Ethical foundations course,308,0,,
VR-6974B696EDA883E2,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,AI GRC Masterclass,,Framework integration for governance,312,0,,
VR-9FDDE6BEB8C5E7F2,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,Model Cards for Model Reporting,,AI transparency and documentation,315,0,,
VR-4B4268A601D8B213,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,Datasheets for Datasets,,Dataset documentation best practices,318,0,,
VR-51B81A284D59B646,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,IBM watsonx.governance Tutorials,,Governance platform implementation,321,0,,
VR-C9865A4AFDC86B01,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,Google Cloud MLOps,,ML operations and governance,324,0,,
VR-149D515098A79468,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,Regulatory Compliance for AI,,"EU AI Act, GDPR, and FDA requirements",327,0,,
VR-F4EAD05B4E7C7E48,Part_09_YoutubeVideos.md,9,Chapter 9.8: Standards and Frameworks,Continuous Monitoring and Risk Assessment,,Ongoing compliance and auditing,330,0,,
VR-45783FF032656E36,Part_10_YoutubeVideos.md,10,Chapter 10.1: Conversational UI,Stanford CS224N - Natural Language Processing with Deep Learning,,"NLP fundamentals, sequence models, attention mechanisms",23,0,,
VR-424AFD89706D7407,Part_10_YoutubeVideos.md,10,Chapter 10.1: Conversational UI,Stanford CS124 - From Languages to Information,Dan Jurafsky lectures,"Information extraction, dialogue systems, NLP foundations",27,0,,
VR-F87D52A3B8A8EF96,Part_10_YoutubeVideos.md,10,Chapter 10.1: Conversational UI,LangChain Tutorials,James Briggs and Data Science Dojo,"LangChain agent frameworks, tool use, conversational patterns",32,0,,
VR-DB2BFA04CD817FA5,Part_10_YoutubeVideos.md,10,Chapter 10.1: Conversational UI,Rasa Learning Center,Official conversational AI training,Conversational AI frameworks and best practices,37,0,,
VR-B0BA0913B9505C62,Part_10_YoutubeVideos.md,10,Chapter 10.1: Conversational UI,Coursera - Conversation Design Courses,Packt and IBM courses,Professional conversation design patterns,41,0,,
VR-2308AF1C9CC1147C,Part_10_YoutubeVideos.md,10,Chapter 10.1: Conversational UI,Progressive Disclosure Tutorial,Nielsen Norman Group,UX patterns for conversational interfaces,45,0,,
VR-F7C40DE0017BDC9D,Part_10_YoutubeVideos.md,10,Chapter 10.1: Conversational UI,Chatbot Development - Edureka,,End-to-end chatbot development,49,0,,
VR-3E659E30CF6BF422,Part_10_YoutubeVideos.md,10,Chapter 10.1: Conversational UI,DeepLearning.AI - NLP Specialization,Andrew Ng,NLP foundations and applications,52,0,,
VR-755841171ABAC691,Part_10_YoutubeVideos.md,10,Chapter 10.2: Proactive Agents,Agentic AI Course,DeepLearning.AI / Andrew Ng,"Four key agentic design patterns, evaluation-driven development",64,0,,
VR-871846CAE1D88A45,Part_10_YoutubeVideos.md,10,Chapter 10.2: Proactive Agents,Stanford CS329A - Self-Improving AI Agents,,"Multi-step reasoning, autonomous behavior",69,0,,
VR-D1076622933DA8C2,Part_10_YoutubeVideos.md,10,Chapter 10.2: Proactive Agents,"Stanford CS372 - AI for Reasoning, Planning, and Decision Making",,"Temporal awareness, decision-making under uncertainty",73,0,,
VR-CC3B09ACC062EEA5,Part_10_YoutubeVideos.md,10,Chapter 10.2: Proactive Agents,MIT OCW 16.410 - Principles of Autonomy and Decision Making,,Autonomous systems fundamentals,77,0,,
VR-2DA8885958EF1E91,Part_10_YoutubeVideos.md,10,Chapter 10.2: Proactive Agents,LangChain Agents Tutorial,James Briggs | v0.3 (2025),LangChain agent implementation,80,0,,
VR-58FB29F085DE04B7,Part_10_YoutubeVideos.md,10,Chapter 10.2: Proactive Agents,DeepLearning.AI AI Agents in LangGraph,,Agent architecture and implementation,85,0,,
VR-EC6BB007579CE629,Part_10_YoutubeVideos.md,10,Chapter 10.2: Proactive Agents,Hugging Face Deep RL Course - RLHF Module,,Reinforcement learning for agents,88,0,,
VR-A936C96A944EB93C,Part_10_YoutubeVideos.md,10,Chapter 10.2: Proactive Agents,Two Minute Papers - Autonomous Systems Episodes,,Latest autonomous AI research,91,0,,
VR-6528D9B53EBF5E3F,Part_10_YoutubeVideos.md,10,Chapter 10.2: Proactive Agents,3Blue1Brown Neural Networks Series,,Foundational AI concepts,94,0,,
VR-B6AEA0EE73C367B7,Part_10_YoutubeVideos.md,10,Chapter 10.3A: RLHF Methodology,RLHF: From Zero to ChatGPT,Nathan Lambert (Hugging Face),All three RLHF phases with implementation details,105,0,,
VR-BD2AF7A1183B384A,Part_10_YoutubeVideos.md,10,Chapter 10.3A: RLHF Methodology,Introduction to Large Language Models,Andrej Karpathy,RLHF in LLM training context,110,0,,
